code,mets,major_heading_ja,activity_ja,major_heading_en,activity_en
02170,2,コンディショニング運動,ヨガ：ナディショーダナ,conditioning exercise,"yoga, Nadisodhana"
02180,3.3,コンディショニング運動,ヨガ：スリヤナマスカー,conditioning exercise,"yoga, Surya Namaskar"
02200,5.3,コンディショニング運動,ファカワテア)：全般、ほどほどの労力,,"(conditioning exercise) (native New Zealander physical activities (e.g., Haka Powhiri, Moteatea, Waita Tira, Whakawatea, etc.),"
02205,6.8,コンディショニング運動,ニュージーランド原住民の身体活動(伝統舞踊、例：ハカ、タイアハ)：全般、きつい労力,conditioning exercise,"native New Zealander physical activities (e.g., Haka, Taiahab), general, vigorous effort"
03010,5,ダンス,バレエ：モダン、ジャズ、全般、リハーサルや教室,dancing,"ballet, modern, or jazz, general, rehearsal or class"
03012,6.8,ダンス,バレエ：モダン、ジャズ、公演、きつい労力,dancing,"ballet, modern, or jazz, performance, vigorous effort"
03014,4.8,ダンス,タップダンス,dancing,tap
03015,7.3,ダンス,エアロビックダンス：全般,dancing,"aerobic, general"
03016,7.5,ダンス,エアロビックダンス：15.2-20.3cmのステップを伴う,dancing,"aerobic, step, with 6 - 8 inch step"
03017,9.5,ダンス,エアロビックダンス：25.4-30.5cmのステップを伴う,dancing,"aerobic, step, with 10 - 12 inch step"
03018,5.5,ダンス,エアロビックダンス：10.2cmのステップを伴う,dancing,"aerobic, step, with 4-inch step"
03019,8.5,ダンス,ベンチステップ教室：全般,dancing,"bench step class, general"
03020,5,ダンス,エアロビックダンス：弱い衝撃,dancing,"aerobic, low impact"
03021,7.3,ダンス,エアロビックダンス：強い衝撃,dancing,"aerobic, high impact"
03022,10,ダンス,エアロビックダンス：4.5-6.8kgの重りを身に着けて,dancing,aerobic dance wearing 10-15 lb weights
03025,4.5,ダンス,ボンバ・イ・プレナ舞踊、フラメンコ、ベリーダンス、スウィングダンス),,"(dancing) (ethnic or cultural dancing (e.g., Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco,"
03030,5.5,ダンス,社交ダンス：速い,dancing,"ballroom, fast (Taylor Code 125)"
03038,11.3,ダンス,社交ダンス：競技、全般,dancing,"ballroom dancing, competitive, general"
03050,5.5,ダンス,アニシナベ族のジングルダンス,dancing,Anishinaabe Jingle Dancing
03060,3.5,ダンス,ディンキ・ミニ、ギア、ガンベイ、イボ、ジャンクヌー、クミナ、オレイシャ、ジャンブ),,"(dancing) (Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere,"
04001,3.5,釣りと狩り,釣り：全般,fishing and hunting,"fishing, general"
04005,4.5,釣りと狩り,釣り：クラブフィッシング,fishing and hunting,"fishing, crab fishing"
04007,4,釣りと狩り,釣り：手づかみ,fishing and hunting,"fishing, catching fish with hands"
04010,4.3,釣りと狩り,釣り関連：ミミズを掘り出す、シャベルを用いて,fishing and hunting,"fishing related, digging worms, with shovel"
04020,4,釣りと狩り,川岸で歩きながらの釣り,fishing and hunting,fishing from river bank and walking
04030,2,釣りと狩り,ボートやカヌーでの釣り：座位,fishing and hunting,"fishing from boat or canoe, sitting"
04040,3.5,釣りと狩り,川岸での釣り：立位,fishing and hunting,"fishing from river bank, standing (Taylor Code 660)"
04050,6,釣りと狩り,川に入っての釣り：ウェーダーを着用して,fishing and hunting,"fishing in stream, in waders (Taylor Code 670)"
04060,2,釣りと狩り,釣り：氷上、座位,fishing and hunting,"fishing, ice, sitting"
04061,1.8,釣りと狩り,釣り：ジョグやライン、立位、全般,fishing and hunting,"fishing, jog or line, standing, general"
04062,3.5,釣りと狩り,釣り：たもの仕掛けと魚の回収、全般,fishing and hunting,"fishing, dip net, setting net and retrieving fish, general"
04063,3.8,釣りと狩り,釣り：定置網の仕掛けと魚の回収、全般,fishing and hunting,"fishing, set net, setting net and retrieving fish, general"
04064,3,釣りと狩り,釣り：フィッシングホイール、網のセッティングと魚の回収、全般,fishing and hunting,"fishing, fishing wheel, setting net and retrieving fish, general"
04065,2.3,釣りと狩り,銛を用いた釣り：立位,fishing and hunting,"fishing with a spear, standing"
04070,2.5,釣りと狩り,狩猟：弓と矢、クロスボウ,fishing and hunting,"hunting, bow and arrow, or crossbow"
04080,6,釣りと狩り,狩猟：シカ、ワピチ(アメリカのアカシカ)、大きな獲物,fishing and hunting,"hunting, deer, elk, large game (Taylor Code 170)"
04081,11.3,釣りと狩り,大きな獲物の狩猟：獲物を引きずる,fishing and hunting,"hunting large game, dragging carcass"
04083,4,釣りと狩り,大型の海洋生物の狩猟,fishing and hunting,hunting large marine animals
04085,2.5,釣りと狩り,大きな獲物の狩猟：ハンティング台から、歩行はほとんど伴わない,fishing and hunting,"hunting large game, from a hunting stand, limited walking"
04086,2,釣りと狩り,車、航空機、ボートからの大きな獲物の狩猟,fishing and hunting,"hunting large game from a car, plane, or boat"
